"date","latitude","longitude","temperature_2m","shortwave_radiation","direct_radiation","diffuse_radiation","direct_normal_irradiance","relative_humidity_2m","dew_point_2m","precipitation","wind_speed_10m","wind_speed_100m","wind_direction_100m","wind_direction_10m","cloud_cover","apparent_temperature","partition_0"
"2024-09-01T00:00:00","40.0795156","-83.0732128","77.55979919433594","31","0.0","31","0.0","73.4000244140625","68.37979888916016","0.0","2.203189373016357","3.537007331848144","325.3047790527344","23.962491989135742","100","83.77104187011719","2024-01-01_2024-12-31"
"2024-09-01T01:00:00","40.0795156","-83.0732128","73.86979675292969","0","0.0","0","0.0","89.08393096923828","70.44979858398438","0.003937007859349","2.236999988555908","0.500208437442779","206.5649871826172","143.13002014160156","70","81.15587615966797","2024-01-01_2024-12-31"
"2024-09-01T02:00:00","40.0795156","-83.0732128","71.79979705810547","0","0.0","0","0.0","95.52081298828125","70.44979858398438","0.0","3.501458644866943","2.248157262802124","174.2895050048828","153.4350128173828","98","78.55389404296875","2024-01-01_2024-12-31"
"2024-09-01T03:00:00","40.0795156","-83.0732128","71.79979705810547","0","0.0","0","0.0","97.29092407226562","70.98979949951172","0.0","2.409322738647461","5.027032375335693","212.27561950683594","201.8014678955078","100","79.30958557128906","2024-01-01_2024-12-31"
"2024-09-01T04:00:00","40.0795156","-83.0732128","69.90980529785156","0","0.0","0","0.0","96.97030639648438","69.00980377197266","0.0","3.913151741027832","5.4428558349609375","260.5377502441406","239.03631591796875","99","75.72964477539062","2024-01-01_2024-12-31"
"2024-09-01T05:00:00","40.0795156","-83.0732128","69.99980163574219","0","0.0","0","0.0","94.02364349365234","68.19979858398438","0.0","3.414632081985473","7.765322685241699","258.36639404296875","238.39254760742188","88","75.61570739746094","2024-01-01_2024-12-31"
"2024-09-01T06:00:00","40.0795156","-83.0732128","69.00980377197266","0","0.0","0","0.0","93.99939727783203","67.20980072021484","0.0","3.472758054733276","9.171699523925781","257.3196105957031","255.0685272216797","61","74.10895538330078","2024-01-01_2024-12-31"
"2024-09-01T07:00:00","40.0795156","-83.0732128","68.55979919433594","0","0.0","0","0.0","93.98831939697266","66.75980377197266","0.0","4.457190990447998","10.26585578918457","281.3099060058594","287.5256652832031","4","73.02416229248047","2024-01-01_2024-12-31"
"2024-09-01T08:00:00","40.0795156","-83.0732128","67.83979797363281","0","0.0","0","0.0","95.15023803710938","66.39979553222656","0.0","3.472758054733276","9.269390106201172","289.7469177246094","284.93145751953125","15","72.54728698730469","2024-01-01_2024-12-31"
"2024-09-01T09:00:00","40.0795156","-83.0732128","67.02980041503906","0","0.0","0","0.0","95.73065185546875","65.7697982788086","0.0","2.916691064834594","7.765322685241699","281.63360595703125","265.60137939453125","59","71.67403411865234","2024-01-01_2024-12-31"
"2024-09-01T10:00:00","40.0795156","-83.0732128","67.29979705810547","0","0.0","0","0.0","94.25152587890625","65.58979797363281","0.0","2.942313909530639","7.855024337768555","289.9831848144531","278.7460632324219","100","71.84872436523438","2024-01-01_2024-12-31"
"2024-09-01T11:00:00","40.0795156","-83.0732128","67.29979705810547","0","0.0","0","0.0","88.2372817993164","63.699798583984375","0.0","3.325539588928222","8.605911254882812","297.8971862792969","289.6539001464844","72","70.82909393310547","2024-01-01_2024-12-31"
"2024-09-01T12:00:00","40.0795156","-83.0732128","67.5698013305664","42","17.0","25","133.68186950683594","83.106689453125","62.259803771972656","0.0","4.501875877380371","9.745723724365234","301.8659362792969","296.5649719238281","13","69.98114013671875","2024-01-01_2024-12-31"
"2024-09-01T13:00:00","40.0795156","-83.0732128","70.44979858398438","190","109.0","81","391.75799560546875","72.25128173828125","61.08980178833008","0.0","4.161060333251953","6.710999965667725","306.8699645996094","306.2539367675781","9","72.51880645751953","2024-01-01_2024-12-31"
"2024-09-01T14:00:00","40.0795156","-83.0732128","73.4197998046875","401","310.0","91","672.5188598632812","66.81709289550781","61.71979904174805","0.0","4.320364475250244","5.905849933624268","294.62353515625","291.2505798339844","0","75.67791748046875","2024-01-01_2024-12-31"
"2024-09-01T15:00:00","40.0795156","-83.0732128","76.20980072021484","593","502.0","91","811.8550415039062","56.19532775878906","59.46979904174805","0.0","4.829018592834473","6.514242172241211","285.9454650878906","283.39251708984375","0","77.81654357910156","2024-01-01_2024-12-31"
