"date","latitude","longitude","temperature_2m","shortwave_radiation","direct_radiation","diffuse_radiation","direct_normal_irradiance","relative_humidity_2m","dew_point_2m","precipitation","wind_speed_10m","wind_speed_100m","wind_direction_100m","wind_direction_10m","cloud_cover","apparent_temperature","partition_0"
"2025-09-01T00:00:00","40.0795156","-83.0732128","68.19979858398438","60","35.0","25","257.640625","58.08023452758789","52.89979934692383","0.0","8.079565048217773","14.206270217895508","26.16151237487793","21.948760986328125","0","65.68019104003906","2025-01-01_2025-11-05"
"2025-09-01T01:00:00","40.0795156","-83.0732128","65.40980529785156","0","0.0","0","0.0","62.290531158447266","52.17980194091797","0.0","10.310240745544434","18.038740158081055","18.4350528717041","15.091634750366211","0","61.72588348388672","2025-01-01_2025-11-05"
"2025-09-01T02:00:00","40.0795156","-83.0732128","62.61980056762695","0","0.0","0","0.0","62.76972198486328","49.74980163574219","0.0","9.164876937866211","16.95772933959961","27.072004318237305","23.749513626098633","0","58.70488739013672","2025-01-01_2025-11-05"
"2025-09-01T03:00:00","40.0795156","-83.0732128","60.819801330566406","0","0.0","0","0.0","64.90125274658203","48.93980026245117","0.0","8.283699035644531","16.014482498168945","41.035247802734375","34.548423767089844","0","57.05136489868164","2025-01-01_2025-11-05"
"2025-09-01T04:00:00","40.0795156","-83.0732128","60.009803771972656","0","0.0","0","0.0","70.70954132080078","50.46980285644531","0.0","7.360035896301269","14.869741439819336","45.60943603515625","36.34754943847656","0","57.06421661376953","2025-01-01_2025-11-05"
"2025-09-01T05:00:00","40.0795156","-83.0732128","59.28980255126953","0","0.0","0","0.0","78.30972290039062","52.53980255126953","0.0","6.151750087738037","13.205880165100098","51.1886100769043","36.869991302490234","0","57.475425720214844","2025-01-01_2025-11-05"
"2025-09-01T06:00:00","40.0795156","-83.0732128","58.569801330566406","0","0.0","0","0.0","83.04878234863281","53.43980026245117","0.0","6.044041156768799","13.215351104736328","56.040897369384766","38.990997314453125","0","57.084205627441406","2025-01-01_2025-11-05"
"2025-09-01T07:00:00","40.0795156","-83.0732128","58.209800720214844","0","0.0","0","0.0","83.57427978515625","53.259803771972656","0.0","6.010831832885742","13.319075584411621","60.852027893066406","44.99989700317383","0","56.681026458740234","2025-01-01_2025-11-05"
"2025-09-01T08:00:00","40.0795156","-83.0732128","57.759803771972656","0","0.0","0","0.0","83.26934051513672","52.71980285644531","0.0","5.313757419586182","12.515210151672363","65.72557067871094","49.26798629760742","1","56.355716705322266","2025-01-01_2025-11-05"
"2025-09-01T09:00:00","40.0795156","-83.0732128","57.129798889160156","0","0.0","0","0.0","82.67744445800781","51.9098014831543","0.0","4.095909595489502","11.016514778137207","74.69380950927734","55.00790023803711","20","55.990997314453125","2025-01-01_2025-11-05"
"2025-09-01T10:00:00","40.0795156","-83.0732128","56.4098014831543","0","0.0","0","0.0","83.17964172363281","51.36980056762695","0.0","3.982865333557129","10.471574783325195","76.40904235839844","51.842735290527344","0","55.15626525878906","2025-01-01_2025-11-05"
"2025-09-01T11:00:00","40.0795156","-83.0732128","55.68980026245117","0","0.0","0","0.0","83.96704864501953","50.9197998046875","0.0","3.799608945846557","9.79310417175293","76.12244415283203","47.385982513427734","0","54.38044738769531","2025-01-01_2025-11-05"
"2025-09-01T12:00:00","40.0795156","-83.0732128","57.21980285644531","49","28.0","21","219.6739501953125","79.45073699951172","50.9197998046875","0.0","4.198474407196045","8.335639953613281","78.38854217529297","41.760215759277344","3","55.74172592163086","2025-01-01_2025-11-05"
"2025-09-01T13:00:00","40.0795156","-83.0732128","59.379798889160156","217","157.0","60","563.1071166992188","74.26893615722656","51.18980026245117","0.0","2.455610513687134","6.056447982788086","85.76368713378906","59.93151092529297","41","58.717323303222656","2025-01-01_2025-11-05"
"2025-09-01T14:00:00","40.0795156","-83.0732128","63.879798889160156","400","299.0","101","647.8518676757812","63.77207946777344","51.36980056762695","0.0","2.248157262802124","3.580947160720825","88.21012878417969","84.28949737548828","94","63.357269287109375","2025-01-01_2025-11-05"
"2025-09-01T15:00:00","40.0795156","-83.0732128","68.46980285644531","565","427.0","138","689.9020385742188","57.354347229003906","52.8098030090332","0.0","2.961385488510132","4.192510604858398","80.78904724121094","79.11451721191406","100","68.25594329833984","2025-01-01_2025-11-05"
"2025-09-01T16:00:00","40.0795156","-83.0732128","72.87979888916016","712","573.0","139","774.0370483398438","52.72493362426758","54.60980224609375","0.0","4.452978610992432","6.012912750244141","80.36253356933594","78.40785217285156","99","74.2168960571289","2025-01-01_2025-11-05"
"2025-09-01T17:00:00","40.0795156","-83.0732128","75.84980010986328","753","519.0","234","635.0366821289062","44.10514450073242","52.449798583984375","0.0","6.288516521453857","8.425209045410156","95.33206939697266","95.10208129882812","100","76.0550537109375","2025-01-01_2025-11-05"
"2025-09-01T18:00:00","40.0795156","-83.0732128","77.46980285644531","735","472.0","263","558.7997436523438","38.59182357788086","50.28980255126953","0.0","6.693266868591309","9.0653715133667","99.22981262207031","99.61965942382812","100","76.6502456665039","2025-01-01_2025-11-05"
"2025-09-01T19:00:00","40.0795156","-83.0732128","78.18980407714844","655","341.0","314","415.5662536621094","35.47843551635742","48.6697998046875","0.0","6.279558181762695","8.41555118560791","94.57383728027344","94.08554077148438","97","76.27962493896484","2025-01-01_2025-11-05"
"2025-09-01T20:00:00","40.0795156","-83.0732128","78.8198013305664","623","370.0","253","495.5780334472656","33.14695358276367","47.4098014831543","0.0","6.187236309051514","8.183415412902832","79.7652587890625","77.47119903564453","81","76.28034973144531","2025-01-01_2025-11-05"
"2025-09-01T21:00:00","40.0795156","-83.0732128","78.72979736328125","530","345.0","185","549.5361328125","31.167694091796875","45.699798583984375","0.0","7.020760059356689","9.412693977355957","69.8423080444336","67.52052307128906","67","74.64141845703125","2025-01-01_2025-11-05"
