"meterid","sitename","simscode","utility","readingtime","readingvalue","readingunits","year","month","day"
"246220","Ohio Stadium","082","ELECTRICITY","2024-09-01T09:00:00","60.0","kWh","2024","09","01"
"247516","Ohio Stadium","082","HEAT","2024-09-01T10:00:00","0.0","kWh","2024","09","01"
"246213","Ohio Stadium","082","ELECTRICITY","2024-09-01T10:00:00","18.13165033181198","kWh","2024","09","01"
"246217","Ohio Stadium","082","ELECTRICITY","2024-09-01T10:00:00","74.52825310979505","kWh","2024","09","01"
"246216","Ohio Stadium","082","ELECTRICITY","2024-09-01T10:00:00","59.67720538921344","kWh","2024","09","01"
"246221","Ohio Stadium","082","ELECTRICITY","2024-09-01T10:00:00","141.04339943846222","kWh","2024","09","01"
"246215","Ohio Stadium","082","ELECTRICITY","2024-09-01T10:00:00","13.732965677509394","kWh","2024","09","01"
"246218","Ohio Stadium","082","ELECTRICITY","2024-09-01T10:00:00","41.743211084928674","kWh","2024","09","01"
"246220","Ohio Stadium","082","ELECTRICITY","2024-09-01T10:00:00","80.34979167186965","kWh","2024","09","01"
"246214","Ohio Stadium","082","ELECTRICITY","2024-09-01T10:00:00","22.796270999268163","kWh","2024","09","01"
"246219","Ohio Stadium","082","ELECTRICITY","2024-09-01T10:00:00","107.20652458192005","kWh","2024","09","01"
"246216","Ohio Stadium","082","ELECTRICITY","2024-09-01T11:00:00","59.60082483402919","kWh","2024","09","01"
"246221","Ohio Stadium","082","ELECTRICITY","2024-09-01T11:00:00","139.97884670365755","kWh","2024","09","01"
"246215","Ohio Stadium","082","ELECTRICITY","2024-09-01T11:00:00","14.349639497427269","kWh","2024","09","01"
"246220","Ohio Stadium","082","ELECTRICITY","2024-09-01T11:00:00","78.10079166815305","kWh","2024","09","01"
"246214","Ohio Stadium","082","ELECTRICITY","2024-09-01T11:00:00","23.1586871672965","kWh","2024","09","01"
"246217","Ohio Stadium","082","ELECTRICITY","2024-09-01T11:00:00","74.05303399838895","kWh","2024","09","01"
"246219","Ohio Stadium","082","ELECTRICITY","2024-09-01T11:00:00","106.9753444457023","kWh","2024","09","01"
"246213","Ohio Stadium","082","ELECTRICITY","2024-09-01T11:00:00","17.52916683243122","kWh","2024","09","01"
"247516","Ohio Stadium","082","HEAT","2024-09-01T11:00:00","0.0","kWh","2024","09","01"
"246218","Ohio Stadium","082","ELECTRICITY","2024-09-01T11:00:00","41.878462123423034","kWh","2024","09","01"
"246219","Ohio Stadium","082","ELECTRICITY","2024-09-01T12:00:00","106.34205145964243","kWh","2024","09","01"
"246217","Ohio Stadium","082","ELECTRICITY","2024-09-01T12:00:00","74.77628366525983","kWh","2024","09","01"
"246220","Ohio Stadium","082","ELECTRICITY","2024-09-01T12:00:00","78.62479167037954","kWh","2024","09","01"
"246221","Ohio Stadium","082","ELECTRICITY","2024-09-01T12:00:00","146.40841725153228","kWh","2024","09","01"
"246216","Ohio Stadium","082","ELECTRICITY","2024-09-01T12:00:00","59.098672387728776","kWh","2024","09","01"
"246215","Ohio Stadium","082","ELECTRICITY","2024-09-01T12:00:00","13.712697846810332","kWh","2024","09","01"
"246218","Ohio Stadium","082","ELECTRICITY","2024-09-01T12:00:00","42.11751442960386","kWh","2024","09","01"
"246214","Ohio Stadium","082","ELECTRICITY","2024-09-01T12:00:00","23.3277433888164","kWh","2024","09","01"
"247516","Ohio Stadium","082","HEAT","2024-09-01T12:00:00","0.0","kWh","2024","09","01"
"246213","Ohio Stadium","082","ELECTRICITY","2024-09-01T12:00:00","18.124791666665114","kWh","2024","09","01"
"246221","Ohio Stadium","082","ELECTRICITY","2024-09-01T13:00:00","152.33624251031625","kWh","2024","09","01"
"246213","Ohio Stadium","082","ELECTRICITY","2024-09-01T13:00:00","17.71851633448309","kWh","2024","09","01"
"246218","Ohio Stadium","082","ELECTRICITY","2024-09-01T13:00:00","42.69539072629918","kWh","2024","09","01"
"246216","Ohio Stadium","082","ELECTRICITY","2024-09-01T13:00:00","48.533250166083064","kWh","2024","09","01"
